"id","group","time","score"
1,0,0,-0.62
1,0,1,-0.82
1,0,2,-1.02
1,0,3,-2.92
1,0,4,1.8
1,0,5,-1.8
1,0,6,-0.47
1,0,7,2.56
1,0,8,0
1,0,9,3.09
2,1,0,-1.4
2,1,1,3.28
2,1,2,-2.01
2,1,3,-1.34
2,1,4,-1.78
2,1,5,1.78
2,1,6,3.26
2,1,7,-1.73
2,1,8,-1.68
2,1,9,0
3,0,0,-1.42
3,0,1,-1.38
3,0,2,-1.83
3,0,3,-2.52
3,0,4,0.25
3,0,5,1.97
3,0,6,1.57
3,0,7,-0.29
3,0,8,4.89
3,0,9,-0.8
4,1,0,-0.73
4,1,1,2.31
4,1,2,-0.44
4,1,3,0.15
4,1,4,1.81
4,1,5,0.56
4,1,6,0.54
4,1,7,-2.36
4,1,8,-2.46
4,1,9,-0.55
5,0,0,1.64
5,0,1,-1.77
5,0,2,-0.81
5,0,3,-0.71
5,0,4,-0.18
5,0,5,1.29
5,0,6,2.44
5,0,7,1.22
5,0,8,0.26
5,0,9,-0.62
6,1,0,-3.82
6,1,1,0.87
6,1,2,-1.17
6,1,3,1.92
6,1,4,-2.95
6,1,5,-0.19
6,1,6,0.1
6,1,7,1.33
6,1,8,-1.36
6,1,9,-0.19
7,0,0,0.76
7,0,1,-1.07
7,0,2,1.79
7,0,3,-1.67
7,0,4,-1.17
7,0,5,1.4
7,0,6,0.48
7,0,7,-1.5
7,0,8,2.91
7,0,9,-0.66
8,1,0,-0.96
8,1,1,-1.28
8,1,2,0.37
8,1,3,1.13
8,1,4,-0.61
8,1,5,-0.8
8,1,6,0.62
8,1,7,-0.06
8,1,8,0.54
8,1,9,0.5
9,0,0,1.45
9,0,1,1.16
9,0,2,-0.55
9,0,3,0.58
9,0,4,-0.87
9,0,5,-1.94
9,0,6,-0.73
9,0,7,-1.48
9,0,8,1.03
9,0,9,-1.67
10,1,0,2.62
10,1,1,3.25
10,1,2,-1.05
10,1,3,0.17
10,1,4,0.54
10,1,5,2.59
10,1,6,0.44
10,1,7,1.78
10,1,8,0.82
10,1,9,-0.68
